     phi1       Phi      phi2
  41.9446   135.599   86.5459
  359.333   128.903   83.7375
  39.8209   135.909   91.7827
  29.0023   132.497   99.1316
  40.5046   138.901   88.3867
  46.6927    127.52   99.1612
  348.271       134   106.852
  43.6061   135.761   99.7365
  28.1225   111.863   85.2141
  18.9205   130.144   88.1873
  311.439   137.273   64.0612
  347.117   135.571   73.5955
  26.8086   140.897    86.761
  329.565   127.358   86.7313
   357.14   131.247   74.6623
  28.0439   140.802   63.9543
  333.936   125.348   91.1172
  315.575   133.983   80.4358
  322.273   149.637   79.7118
  42.1081    143.88   104.746
  349.129    125.44   98.7221
   332.61   140.698   80.5726
  355.538   146.806   94.1465
  33.8453   127.593    91.426
  356.353   149.749   73.2168
  330.862   153.082    72.014
  13.3277   134.249   65.6188
  45.1077   130.502   104.528
  328.526   131.305   86.3967
  30.0631   131.782   84.8394
0.0223197   112.222   80.2637
  15.5518   125.935   85.4789
  308.955   129.411   55.8177
  353.994    126.16   94.7015
  39.9117   144.831   80.8438
   337.91   129.752   85.0532
  349.263   127.238    89.738
  23.0186   123.841   72.3852
  37.2015   134.656    90.339
  45.7488   139.616   91.4526
 0.880304   144.395   87.2683
  32.9887   132.751    89.578
 0.255949   140.266    67.771
  320.787   144.032   70.0757
  358.359   138.656   73.1552
      350   120.647   101.604
  26.6279   123.421   90.5794
  1.70078   125.893   67.0427
  326.426   134.556   92.8467
  22.2795    138.79   93.6457
  37.7114   140.063   75.7465
  325.973   132.286   81.0979
  21.7105   140.178    81.592
  15.3137   125.303   83.5343
  62.1166   123.079   113.731
  50.2515    51.396   267.364
  118.054   48.1869   251.418
  42.5395   49.1213   275.981
  34.8537    42.217    287.84
  51.6315   46.8172    279.03
  43.0465   55.7861   289.042
  125.799   65.8622   260.507
  68.9376   53.2987   251.252
  59.1419   38.4219   272.942
   96.057   48.9952   266.761
  113.145   39.7827   273.579
  105.818    39.614   273.005
  89.7278   50.4295   257.574
  64.2488   47.7587   257.446
   88.667   37.2854   260.958
  100.859   35.4836   259.166
  44.1156   37.8839   281.584
  113.288   44.3122   260.158
  47.5293   59.4028   269.246
  57.6312   36.3382   256.148
  124.194    42.403   274.001
  127.373   32.2385   252.994
  63.9528   39.8711   263.913
  107.078   41.0145   251.428
  102.124    48.609   266.641
  54.2368   32.9068   271.705
